id;signification
00;Indéterminable
01;Bicyclette
02;Cyclomoteur <50cm3
03;"Voiturette (Quadricycle à moteur carrossé) (anciennement ""voiturette ou tricycle à moteur"")"
04;Référence inutilisée depuis 2006 (scooter immatriculé)
05;Référence inutilisée depuis 2006 (motocyclette)
06;Référence inutilisée depuis 2006 (side-car)
07;VL seul
08;Référence inutilisée depuis 2006 (VL + caravane)
09;Référence inutilisée depuis 2006 (VL + remorque)
10;VU seul 1,5T <= PTAC <= 3,5T avec ou sans remorque (anciennement VU seul 1,5T <= PTAC
