TABLE_NAME,COLUMN_NAME,DATA_TYPE
action_du_pieton,action_du_pieton,varchar
action_du_pieton,id_action_du_pieton,varchar
caracteristiques,Accident_Id,varchar
caracteristiques,adr,text
caracteristiques,agg,varchar
caracteristiques,an,bigint
caracteristiques,atm,varchar
caracteristiques,col,varchar
caracteristiques,com,text
caracteristiques,dep,text
caracteristiques,hrmn,time
caracteristiques,int,varchar
caracteristiques,jour,varchar
caracteristiques,lat,decimal
caracteristiques,long,decimal
caracteristiques,lum,varchar
caracteristiques,mois,bigint
categorie_de_route,categorie_de_route,varchar
categorie_de_route,id_categorie_de_route,varchar
categorie_du_vehicule,categorie_du_vehicule,varchar
categorie_du_vehicule,id_categorie_du_vehicule,varchar
categorie_usager,categorie_usager,varchar
categorie_usager,id_categorie_usager,varchar
collision,collision,varchar
collision,id_collision,varchar
conditions_atmospheriques,conditions_atmospheriques,varchar
conditions_atmospheriques,id_conditions_atmospheriques,varchar
etat_de_la_surface_,etat_de_la_surface_,varchar
etat_de_la_surface_,id_etat_de_la_surface_,varchar
etatp,etatp,varchar
etatp,id_etatp,varchar
gravite,gravite,varchar
gravite,id_gravite,varchar
infrastructure,id_infrastructure,varchar
infrastructure,infrastructure,varchar
intersection,id_intersection,varchar
intersection,intersection,varchar
lieux,catr,varchar
lieux,circ,varchar
lieux,infra,varchar
lieux,larrout,double
lieux,lartpc,text
lieux,nbv,int
lieux,Num_Acc,varchar
lieux,plan,varchar
lieux,pr,text
lieux,pr1,text
lieux,prof,varchar
lieux,situ,varchar
lieux,surf,varchar
lieux,v1,text
lieux,v2,text
lieux,vma,int
lieux,voie,text
lieux,vosp,varchar
localisation,id_localisation,varchar
localisation,localisation,varchar
locp,id_locp,varchar
locp,locp,varchar
lumiere,id_lumiere,varchar
lumiere,lumiere,varchar
manoeuvre_principale_avant_accident_,id_manoeuvre_principale_avant_accident_,varchar
manoeuvre_principale_avant_accident_,manoeuvre_principale_avant_accident_,varchar
motif_deplacement,id_motif_deplacement,varchar
motif_deplacement,motif_deplacement,varchar
obstacle_fixe_heurte,id_obstacle_fixe_heurte,varchar
obstacle_fixe_heurte,obstacle_fixe_heurte,varchar
obstacle_mobile_heurte,id_obstacle_mobile_heurte,varchar
obstacle_mobile_heurte,obstacle_mobile_heurte,varchar
point_choc_initial_,id_point_choc_initial_,varchar
point_choc_initial_,point_choc_initial_,varchar
prof,id_prof,varchar
prof,prof,varchar
regime_de_circulation,id_regime_de_circulation,varchar
regime_de_circulation,regime_de_circulation,varchar
secu1,id_secu1,varchar
secu1,secu1,varchar
secu2,id_secu2,varchar
secu2,secu2,varchar
secu3,id_secu3,varchar
secu3,secu3,varchar
sens_de_circulation,id_sens_de_circulation,varchar
sens_de_circulation,sens_de_circulation,varchar
sexe,id_sexe,varchar
sexe,sexe,varchar
situation_accident,id_situation_accident,varchar
situation_accident,situation_accident,varchar
trace_en_plan,id_trace_en_plan,varchar
trace_en_plan,trace_en_plan,varchar
type_motorisation,id_type_motorisation,varchar
type_motorisation,type_motorisation,varchar
usagers,actp,varchar
usagers,catu,varchar
usagers,etatp,varchar
usagers,grav,varchar
usagers,id_usager,varchar
usagers,id_vehicule,varchar
usagers,locp,varchar
usagers,n_nis,year
usagers,Num_Acc,varchar
usagers,num_veh,text
usagers,plce,int
usagers,secu1,varchar
usagers,secu2,varchar
usagers,secu3,varchar
usagers,sexe,varchar
usagers,trajet,varchar
vehicules,catv,varchar
vehicules,choc,varchar
vehicules,id_vehicules,varchar
vehicules,manv,varchar
vehicules,motor,varchar
vehicules,Num_Acc,varchar
vehicules,num_veh,text
vehicules,obs,varchar
vehicules,obsm,varchar
vehicules,occutc,text
vehicules,senc,varchar
vosp,id_vosp,varchar
vosp,vosp,varchar
